id;name;geoid;geoname;value;datetime
805;Precio medio horario componente mercado diario ;;;93.72;2021-07-01T00:00:00
805;Precio medio horario componente mercado diario ;;;91.99;2021-07-01T01:00:00
805;Precio medio horario componente mercado diario ;;;91.26;2021-07-01T02:00:00
805;Precio medio horario componente mercado diario ;;;91.65;2021-07-01T03:00:00
805;Precio medio horario componente mercado diario ;;;91.99;2021-07-01T04:00:00
805;Precio medio horario componente mercado diario ;;;91.99;2021-07-01T05:00:00
805;Precio medio horario componente mercado diario ;;;92.34;2021-07-01T06:00:00
805;Precio medio horario componente mercado diario ;;;95.95;2021-07-01T07:00:00
805;Precio medio horario componente mercado diario ;;;98.19;2021-07-01T08:00:00
805;Precio medio horario componente mercado diario ;;;96.4;2021-07-01T09:00:00
805;Precio medio horario componente mercado diario ;;;94.93;2021-07-01T10:00:00
805;Precio medio horario componente mercado diario ;;;93.25;2021-07-01T11:00:00
805;Precio medio horario componente mercado diario ;;;93;2021-07-01T12:00:00
805;Precio medio horario componente mercado diario ;;;90.19;2021-07-01T13:00:00
805;Precio medio horario componente mercado diario ;;;85.67;2021-07-01T14:00:00
805;Precio medio horario componente mercado diario ;;;85;2021-07-01T15:00:00
805;Precio medio horario componente mercado diario ;;;84.04;2021-07-01T16:00:00
805;Precio medio horario componente mercado diario ;;;89.14;2021-07-01T17:00:00
805;Precio medio horario componente mercado diario ;;;93;2021-07-01T18:00:00
805;Precio medio horario componente mercado diario ;;;95.24;2021-07-01T19:00:00
805;Precio medio horario componente mercado diario ;;;95.93;2021-07-01T20:00:00
805;Precio medio horario componente mercado diario ;;;95.54;2021-07-01T21:00:00
805;Precio medio horario componente mercado diario ;;;96.18;2021-07-01T22:00:00
805;Precio medio horario componente mercado diario ;;;91.99;2021-07-01T23:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-02T00:00:00
805;Precio medio horario componente mercado diario ;;;99.72;2021-07-02T01:00:00
805;Precio medio horario componente mercado diario ;;;99.56;2021-07-02T02:00:00
805;Precio medio horario componente mercado diario ;;;99.67;2021-07-02T03:00:00
805;Precio medio horario componente mercado diario ;;;99.72;2021-07-02T04:00:00
805;Precio medio horario componente mercado diario ;;;100.12;2021-07-02T05:00:00
805;Precio medio horario componente mercado diario ;;;102;2021-07-02T06:00:00
805;Precio medio horario componente mercado diario ;;;107.96;2021-07-02T07:00:00
805;Precio medio horario componente mercado diario ;;;110;2021-07-02T08:00:00
805;Precio medio horario componente mercado diario ;;;107.24;2021-07-02T09:00:00
805;Precio medio horario componente mercado diario ;;;102.54;2021-07-02T10:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-02T11:00:00
805;Precio medio horario componente mercado diario ;;;99.61;2021-07-02T12:00:00
805;Precio medio horario componente mercado diario ;;;95.71;2021-07-02T13:00:00
805;Precio medio horario componente mercado diario ;;;92.32;2021-07-02T14:00:00
805;Precio medio horario componente mercado diario ;;;86.95;2021-07-02T15:00:00
805;Precio medio horario componente mercado diario ;;;82.57;2021-07-02T16:00:00
805;Precio medio horario componente mercado diario ;;;94.23;2021-07-02T17:00:00
805;Precio medio horario componente mercado diario ;;;99.98;2021-07-02T18:00:00
805;Precio medio horario componente mercado diario ;;;101.01;2021-07-02T19:00:00
805;Precio medio horario componente mercado diario ;;;103.69;2021-07-02T20:00:00
805;Precio medio horario componente mercado diario ;;;105.55;2021-07-02T21:00:00
805;Precio medio horario componente mercado diario ;;;105.02;2021-07-02T22:00:00
805;Precio medio horario componente mercado diario ;;;99.98;2021-07-02T23:00:00
805;Precio medio horario componente mercado diario ;;;96.55;2021-07-03T00:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-03T01:00:00
805;Precio medio horario componente mercado diario ;;;93.05;2021-07-03T02:00:00
805;Precio medio horario componente mercado diario ;;;96.55;2021-07-03T03:00:00
805;Precio medio horario componente mercado diario ;;;96.55;2021-07-03T04:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-03T05:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-03T06:00:00
805;Precio medio horario componente mercado diario ;;;96.2;2021-07-03T07:00:00
805;Precio medio horario componente mercado diario ;;;99.61;2021-07-03T08:00:00
805;Precio medio horario componente mercado diario ;;;98;2021-07-03T09:00:00
805;Precio medio horario componente mercado diario ;;;94.23;2021-07-03T10:00:00
805;Precio medio horario componente mercado diario ;;;93.05;2021-07-03T11:00:00
805;Precio medio horario componente mercado diario ;;;92.32;2021-07-03T12:00:00
805;Precio medio horario componente mercado diario ;;;92.32;2021-07-03T13:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-03T14:00:00
805;Precio medio horario componente mercado diario ;;;73.75;2021-07-03T15:00:00
805;Precio medio horario componente mercado diario ;;;75.2;2021-07-03T16:00:00
805;Precio medio horario componente mercado diario ;;;85.45;2021-07-03T17:00:00
805;Precio medio horario componente mercado diario ;;;93.61;2021-07-03T18:00:00
805;Precio medio horario componente mercado diario ;;;98.18;2021-07-03T19:00:00
805;Precio medio horario componente mercado diario ;;;100.27;2021-07-03T20:00:00
805;Precio medio horario componente mercado diario ;;;105.69;2021-07-03T21:00:00
805;Precio medio horario componente mercado diario ;;;106.95;2021-07-03T22:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-03T23:00:00
805;Precio medio horario componente mercado diario ;;;94.18;2021-07-04T00:00:00
805;Precio medio horario componente mercado diario ;;;86.74;2021-07-04T01:00:00
805;Precio medio horario componente mercado diario ;;;80.05;2021-07-04T02:00:00
805;Precio medio horario componente mercado diario ;;;75.61;2021-07-04T03:00:00
805;Precio medio horario componente mercado diario ;;;71.12;2021-07-04T04:00:00
805;Precio medio horario componente mercado diario ;;;70.07;2021-07-04T05:00:00
805;Precio medio horario componente mercado diario ;;;74.5;2021-07-04T06:00:00
805;Precio medio horario componente mercado diario ;;;75.42;2021-07-04T07:00:00
805;Precio medio horario componente mercado diario ;;;78.68;2021-07-04T08:00:00
805;Precio medio horario componente mercado diario ;;;77.08;2021-07-04T09:00:00
805;Precio medio horario componente mercado diario ;;;75.24;2021-07-04T10:00:00
805;Precio medio horario componente mercado diario ;;;78.03;2021-07-04T11:00:00
805;Precio medio horario componente mercado diario ;;;78.02;2021-07-04T12:00:00
805;Precio medio horario componente mercado diario ;;;74;2021-07-04T13:00:00
805;Precio medio horario componente mercado diario ;;;69.26;2021-07-04T14:00:00
805;Precio medio horario componente mercado diario ;;;67.1;2021-07-04T15:00:00
805;Precio medio horario componente mercado diario ;;;58.45;2021-07-04T16:00:00
805;Precio medio horario componente mercado diario ;;;65.09;2021-07-04T17:00:00
805;Precio medio horario componente mercado diario ;;;69.57;2021-07-04T18:00:00
805;Precio medio horario componente mercado diario ;;;81.02;2021-07-04T19:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-04T20:00:00
805;Precio medio horario componente mercado diario ;;;102.09;2021-07-04T21:00:00
805;Precio medio horario componente mercado diario ;;;104.92;2021-07-04T22:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-04T23:00:00
805;Precio medio horario componente mercado diario ;;;94.23;2021-07-05T00:00:00
805;Precio medio horario componente mercado diario ;;;92;2021-07-05T01:00:00
805;Precio medio horario componente mercado diario ;;;89.46;2021-07-05T02:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-05T03:00:00
805;Precio medio horario componente mercado diario ;;;89.05;2021-07-05T04:00:00
805;Precio medio horario componente mercado diario ;;;91.5;2021-07-05T05:00:00
805;Precio medio horario componente mercado diario ;;;96.32;2021-07-05T06:00:00
805;Precio medio horario componente mercado diario ;;;101.93;2021-07-05T07:00:00
